Value,Description
0,"HUMAN ACTIVITY, WHERE VESSELS & FISHING GEAR ARE RECORDED AS SIGHTINGS"
1,"LARGE CETACEAN (INCLUDES UNID WHALE)"
2,"MEDIUM CETACEAN (MINKE, BEAKED, AND KILLER WHALES)"
3,"SMALL CETACEAN"
4,"OTHER MARINE MAMMAL (SEALS, MANATEE)"
5,"SEA TURTLE"
6,"SHARK"
7,"OTHER FISH"
8,"BIRD"
9,"OTHER/UNKNOWN"
