Value,Description
B,"BOTH RAIN (OR OTHER PRECIPITATION) AND FOG"
C,"CLEAR"
D,"DRIZZLE"
F,"FOG"
G,"GRAY (HEAVY OVERCAST AND DARK, BUT NO PRECIPITATION)"
H,"HAZE"
L,"LIGHT RAIN, INTERMITTENT SHOWERS "
P,"PATCHY FOG"
R,"RAIN"
S,"SNOW"
T,"THUNDERSTORMS, SQUALLS"
X,"NOT RECORDED"
