Value,Description
0,+/- 0
1,+/- 1
2,+/- 2
3,+/- 5
4,+/- 10
5,+/- 25
6,+/- 50
7,+/- 100
8,+/- 1000
9, AT LEAST AMOUNT FOR GROUP COUNTS
10,NO ESTIMATE OF CONFIDENCE LEVEL
11,NUMBER OF ANIMALS UNKNOWN
