Value,Description
0,"OFF-WATCH PERIOD (OPTIONAL, WILL BE BLANKED IN ARCHIVED DATA)"
1,"BEGIN LINE \ BEGIN WATCH PERIOD"
2,"CONTINUE LINE \ CONTINUE WATCH PERIOD"
3,"BREAK OFF LINE TO CIRCLE"
4,"RESUME LINE"
5,"END LINE \ END WATCH PERIOD"
6,"SIGHTING BY OBSERVER OTHER THAN THOSE OFFICIALLY ON WATCH"
7,"SIGHTING DETECTED IN AERIAL PHOTOGRAPH"
8,"sighting by other crewmember during an off-watch period"
