"Value","Description"
1,"UNSURE / POSSIBLE"
2,"PROBABLE"
3,"DEFINITE / SURE"
9,"UNKNOWN/NOT RECORDED. ALSO SHOULD BE USED FOR ALL SIGHTINGS OF VESSELS, FISHING GEAR, POLLUTION, ETC"
