Value,Description
0,"NON-STRATIFIED AERIAL SURVEY BLOCK"
A,"SCOTIAN SHELF BLOCK HALVES"
B,"SCOTIAN SHELF BLOCK HALVES"
I,"FLORIDA, INSHORE"
M,"NLPSC, YEAR 2+, MARTHA’S VINEYARD (SAME AS YEAR 1 SURVEYS)"
O,"FLORIDA, OFFSHORE"
R,"NLPSC, YEAR 2+, RHODE ISLAND (ADDED)"
X,"0-20 FATHOMS"
Y,"20-50 FATHOMS"
Z,">50 FATHOMS"
