"Value","Description"
0,"NOT RECORDED"
1,"CLEAR <10% CLOUD COVER"
2,"SCATTERED 10-50% CLOUD COVER"
3,"BROKEN 50-90% CLOUD COVER"
4,"OVERCAST >90% CLOUD COVER"
9,"SKY OBSCURED OR CLOUD AMOUNT CANNOT BE ESTIMATED (NIGHT, FOG)"
