"Value","Description"
1,"CLEAR VISIBILITY FOR AT LEAST 2 NAUTICAL MILES"
2,"VISIBILITY LESS THAN 2 MILES, FOG"
3,"<2 MILES, HAZE"
4,"<2 MILES, RAIN"
5,"<2 MILES, SNOW"
