"Value","Description"
0,"DEDICATED AERIAL, OFF WATCH DURING TRANSIT, CROSS-LEG, OR CIRCLING"
1,"DEDICATED AERIAL, TRANSIT"
2,"DEDICATED AERIAL, SURVEY LINE"
3,"DEDICATED AERIAL, CROSSLEG"
4,"DEDICATED AERIAL, OTHER (CIRCLING)"
5,"POP SHIP, UNDERWAY"
6,"POP SHIP, NOT UNDERWAY"
7,"POP AERIAL"
9,"POP AERIAL, BUT WITH RESTRICTED RECORDING OF DATA DUE TO INSUFFICIENT PERSONNEL"
