"Value","Description","typical_max_group","typical_max_calf"
0,"HUMAN ACTIVITY, WHERE VESSELS & FISHING GEAR ARE RECORDED AS SIGHTINGS",,
1,"LARGE CETACEAN (INCLUDES UNID WHALE)",50,10
2,"MEDIUM CETACEAN (MINKE, BEAKED, AND KILLER WHALES)",200,30
3,"SMALL CETACEAN",2000,200
4,"OTHER MARINE MAMMAL (SEALS, MANATEE)",5000,500
5,"SEA TURTLE",20,5
6,"SHARK",,
7,"OTHER FISH",,
8,"BIRD",100000,
9,"OTHER/UNKNOWN",1000,100
