"Value","Description"
"A","DEDICATED AERIAL SURVEY"
"F","POP AERIAL SURVEY"
"H","HISTORICAL DATA"
"O","OPPORTUNISTIC DATA"
"P","POP SHIPBOARD SURVEY"
