"Value","Description"
135,"AQUAMONITOR (MWRA/BATELLE) - OTHER RESEARCH VESSELS"
136,"SELKIE (RHIB) - INSTITUTIONAL RESEARCH VESSELS"
137,"EASTERLY - INSTITUTIONAL RESEARCH VESSELS"
139,"MISC./OTHER - OTHER RESEARCH VESSELS"
150,"REGINA MARIS - SAILING RESEARCH VESSELS"
151,"WESTWARD - SAILING RESEARCH VESSELS"
152,"SIRIUS - SAILING RESEARCH VESSELS"
153,"CORWITH CRAMER - SAILING RESEARCH VESSELS"
154,"BALAENA (HAL WHITEHEAD’S) - SAILING RESEARCH VESSELS"
155,"SEDNA IV - SAILING RESEARCH VESSELS"
156,"ROSITA - SAILING RESEARCH VESSELS"
157,"SPIRIT OF MASSACHUSETTS - SAILING RESEARCH VESSELS"
170,"MISS OCEAN CITY - WHALE/BIRD WATCH VESSELS"
171,"DOLPHIN FLEET - WHALE/BIRD WATCH VESSELS"
173,"VIKING QUEEN - WHALE/BIRD WATCH VESSELS"
174,"VIKING STARSHIP  - WHALE/BIRD WATCH VESSELS"
175,"SUPER SQUIRREL II  - WHALE/BIRD WATCH VESSELS"
176,"VOYAGER - WHALE/BIRD WATCH VESSELS"
177,"FINBACK - WHALE/BIRD WATCH VESSELS"
178,"CETACEAN QUEST - WHALE/BIRD WATCH VESSELS"
179,"FRANCES FLEET - WHALE/BIRD WATCH VESSELS"
180,"MISS CAPE ANN - WHALE/BIRD WATCH VESSELS"
181,"MISS GLOUCESTER - WHALE/BIRD WATCH VESSELS"
182,"CAPT. JOHN FLEET - WHALE/BIRD WATCH VESSELS"
183,"ELSIE MANOTA - WHALE/BIRD WATCH VESSELS"
184,"NORWOOD BOAT TOURS (N.S.) - WHALE/BIRD WATCH VESSELS"
185,"QUODDY LINK (N.B.) - WHALE/BIRD WATCH VESSELS"
186,"SEA WATCH TOURS (N.B.) - WHALE/BIRD WATCH VESSELS"
187,"PORTUGUESE PRINCESS - WHALE/BIRD WATCH VESSELS"
188,"SEAFARER (NEA) - WHALE/BIRD WATCH VESSELS"
189,"GRANITE STATE - WHALE/BIRD WATCH VESSELS"
190,"FRIENDSHIP - WHALE/BIRD WATCH VESSELS"
191,"BAR HARBOR/ALLIED WHALE - WHALE/BIRD WATCH VESSELS"
192,"TALES OF THE SEA - WHALE/BIRD WATCH VESSELS"
193,"MINGAN ISLAND CETACEAN STUDY - INSTITUTIONAL RESEARCH VESSELS"
194,"HELEN H - INSTITUTIONAL RESEARCH VESSELS"
199,"MISC./OTHER WHALE-WATCH VESSEL - WHALE/BIRD WATCH VESSELS"
250,"STONE HORSE - CETAP CHARTER"
251,"WALTER E. PHIPPS - CETAP CHARTER"
252,"THREE OF A KIND - CETAP CHARTER"
253,"WHEN AND IF - CETAP CHARTER"
254,"FLYING SORCERESS - CETAP CHARTER"
255,"TIOGA - CETAP CHARTER"
265,"CANADIAN WHALING VESSEL, BLANDFORD STATION - FOREIGN FISHING VESSELS"
267,"D.F.O VESSELS (INCL. CHARTERS) - CANADIAN VESSELS"
290,"CHRISTINA M. - COMMERCIAL FISHING VESSELS"
298,"NOAA FISHERY OBSERVER - COMMERCIAL FISHING VESSELS"
299,"MISC./OTHER FISHING VESSEL - COMMERCIAL FISHING VESSELS"
311,"MAURICE EWING - SEISMIC VESSELS"
312,"WESTERN MONARCH - SEISMIC VESSELS"
313,"VERITAS VIKING - SEISMIC VESSELS"
314,"AKADEMIK SHATSKIY - SEISMIC VESSELS"
315,"GECO DIAMOND - SEISMIC VESSELS"
316,"GECO TRITON - SEISMIC VESSELS"
317,"GECO TOPAZ - SEISMIC VESSELS"
318,"GECO SIGMA - SEISMIC VESSELS"
319,"GECO RHO - SEISMIC VESSELS"
320,"WESTERN ORIENT - SEISMIC VESSELS"
321,"WESTERN ALEUTIAN - SEISMIC VESSELS"
322,"POLAR DUKE - SEISMIC VESSELS"
323,"ZOD 2 - SEISMIC VESSELS"
324,"UNKNOWN SEISMIC VESSEL - SEISMIC VESSELS"
326,"DINA POLARIS - SEISMIC VESSELS"
327,"FUGRO DISCOVERY - SEISMIC VESSELS"
328,"FUGRO ENTERPRISE - SEISMIC VESSELS"
375,"MISS OCEAN CITY - CHARTER FISHING VESSELS"
376,"FLYING SORCERESS - CHARTER FISHING VESSELS"
377,"YANKEE CAPTAIN - CHARTER FISHING VESSELS"
378,"SEA DOLL MEDITATION - CHARTER FISHING VESSELS"
379,"LUCKY SEVEN - CHARTER FISHING VESSELS"
380,"DIVECOM III - CHARTER FISHING VESSELS"
381,"SNEAK ATTACK - CHARTER FISHING VESSELS"
382,"REUBY - CHARTER FISHING VESSELS"
383,"SEA HOLLY - CHARTER FISHING VESSELS"
384,"EZY DUZ IT - CHARTER FISHING VESSELS"
385,"ROMINIC - CHARTER FISHING VESSELS"
386,"GULF OF ST. LAWRENCE SNOW CRAB BOAT - CHARTER FISHING VESSELS"
399,"MISC. FISHING VESSELS & PARTY BOATS - CHARTER FISHING VESSELS"
425,"BLOCK ISLAND - PASSENGER FERRIES"
426,"MARINE EVANGELINE - PASSENGER FERRIES"
427,"CARIBE - PASSENGER FERRIES"
428,"BLUE NOSE - PASSENGER FERRIES"
429,"THE CAT - PASSENGER FERRIES"
444,"MISC./OTHER FERRY - PASSENGER FERRIES"
475,"ALASKAN SEAHORSE - TUGS AND WORK BOATS"
526,"SUB SIG - BLM CHARTER"
527,"EDGERTON  - BLM CHARTER"
528,"OCEANUS - BLM CHARTER"
529,"EASTWARD - BLM CHARTER"
530,"ELIZABETH - BLM CHARTER"
531,"ATLANTIC TWIN - BLM CHARTER"
551,"WALTER E. PHIPPS - MISCELLANEOUS VESSELS"
552,"SUNBEAM - MISCELLANEOUS VESSELS"
553,"TIOGA - MISCELLANEOUS VESSELS"
554,"BAGATELLE - MISCELLANEOUS VESSELS"
555,"STATE OF MAINE - MISCELLANEOUS VESSELS"
556,"VALHALLA - MISCELLANEOUS VESSELS"
557,"D’SONOQUA - MISCELLANEOUS VESSELS"
558,"SHEARWATER (Nova Scotia) - MISCELLANEOUS VESSELS"
559,"TODD & CHERIDA - MISCELLANEOUS VESSELS"
