CSV Split Summary
=================

Date: 28-Jun-2026 23:44:38
Input file: data/legacy/original_csv/RUSS_24_VALID.CSV
Output directory: data/legacy/surveys/pending

Total surveys: 12578
Total rows: 11651703
Average rows per survey: 926
Time elapsed: 341.3 minutes

Survey file row counts:
-----------------------
P199193: 124 rows
P199194: 88 rows
P199195: 40 rows
P199199: 151 rows
P199200: 121 rows
P199202: 136 rows
P199210: 59 rows
P199211: 54 rows
P199214: 106 rows
P199215: 98 rows
P199216: 93 rows
P199217: 118 rows
P199220: 50 rows
P199223: 41 rows
P199231: 70 rows
P199232: 122 rows
P199233: 31 rows
P199235: 116 rows
P199243: 47 rows
P199244: 73 rows
P199245: 96 rows
P199257: 98 rows
P199262: 66 rows
P199270: 76 rows
P278346: 4 rows
P279016: 29 rows
P279023: 178 rows
P279024: 16 rows
P279086: 49 rows
P279102: 158 rows
P279106: 164 rows
P279107: 37 rows
P279108: 164 rows
P279121: 241 rows
P279125: 82 rows
P279149: 61 rows
P279157: 5 rows
P279167: 9 rows
P279176: 157 rows
P279181: 19 rows
P279182: 214 rows
P279189: 13 rows
P279195: 18 rows
P279197: 322 rows
P279210: 10 rows
P279218: 326 rows
P279233: 28 rows
P279235: 214 rows
P279271: 177 rows
P279288: 53 rows
P279303: 105 rows
P279335: 179 rows
P280098: 121 rows
P280268: 31 rows
P287266: 71 rows
P287271: 10 rows
P287275: 22 rows
P288233: 61 rows
P288234: 31 rows
P288235: 43 rows
P288236: 90 rows
P288244: 85 rows
P288245: 76 rows
P288252: 24 rows
P288261: 75 rows
P289235: 71 rows
P289240: 86 rows
P289246: 100 rows
P289247: 79 rows
P289248: 69 rows
P289256: 59 rows
P289257: 64 rows
P290254: 68 rows
P290260: 64 rows
P290265: 86 rows
P291241: 54 rows
P291253: 80 rows
P291257: 51 rows
P292091: 22 rows
P294264: 36 rows
P296252: 16 rows
P296261: 96 rows
P297182: 87 rows
P297231: 70 rows
P297232: 144 rows
P297235: 73 rows
P297237: 128 rows
P297238: 155 rows
P298233: 19 rows
P299109: 25847 rows
P299223: 93 rows
P299233: 73 rows
P299235: 50 rows
P299243: 26 rows
P299244: 33 rows
P398158: 40 rows
P398160: 23 rows
P398161: 13 rows
P398162: 10 rows
P398163: 15 rows
P398164: 13 rows
P398165: 10 rows
P398167: 15 rows
P398170: 15 rows
P398171: 12 rows
P398172: 20 rows
P398173: 26 rows
P398176: 14 rows
P398178: 9 rows
P398179: 9 rows
P398180: 10 rows
P398183: 27 rows
P398184: 45 rows
P398185: 36 rows
P398186: 36 rows
P398187: 49 rows
P398188: 21 rows
P398191: 7 rows
P398192: 39 rows
P398193: 22 rows
P398194: 36 rows
P398196: 13 rows
P398197: 18 rows
P398198: 7 rows
P398199: 15 rows
P398200: 39 rows
P398201: 12 rows
P398203: 10 rows
P398204: 27 rows
P398205: 6 rows
P398206: 44 rows
P398207: 42 rows
P398208: 39 rows
P398212: 33 rows
P398214: 38 rows
P398215: 44 rows
P398216: 44 rows
P398217: 41 rows
P398218: 63 rows
P398219: 26 rows
P398222: 9 rows
P398223: 13 rows
P398226: 17 rows
P398229: 12 rows
P398231: 59 rows
P398232: 65 rows
P398234: 28 rows
P398235: 24 rows
P398237: 25 rows
P398238: 12 rows
P398239: 15 rows
P398240: 13 rows
P398243: 31 rows
P398244: 8 rows
P398245: 32 rows
P398249: 13 rows
P398250: 32 rows
P398251: 31 rows
P398252: 19 rows
P398253: 18 rows
P398254: 27 rows
P398255: 12 rows
P398256: 22 rows
P398258: 10 rows
P398259: 19 rows
P398260: 25 rows
P398261: 12 rows
P398263: 9 rows
P398267: 17 rows
P398268: 16 rows
P398269: 12 rows
P398271: 9 rows
P398272: 8 rows
P398280: 20 rows
P398283: 9 rows
P398286: 67 rows
P398287: 12 rows
P398299: 64 rows
P399161: 29 rows
P399162: 23 rows
P399163: 26 rows
P399164: 9 rows
P399167: 26 rows
P399168: 84 rows
P399169: 23 rows
P399170: 20 rows
P399171: 13 rows
P399172: 97 rows
P399173: 15 rows
P399174: 20 rows
P399175: 15 rows
P399176: 10 rows
P399177: 24 rows
P399179: 7 rows
P399182: 37 rows
P399184: 20 rows
P399185: 106 rows
P399186: 42 rows
P399187: 22 rows
P399188: 19 rows
P399190: 21 rows
P399191: 10 rows
P399194: 106 rows
P399195: 25 rows
P399196: 66 rows
P399197: 53 rows
P399198: 62 rows
P399201: 56 rows
P399202: 82 rows
P399204: 26 rows
P399205: 18 rows
P399206: 35 rows
P399214: 96 rows
P399217: 61 rows
P399218: 30 rows
P399220: 20 rows
P399222: 19 rows
P399223: 34 rows
P399225: 16 rows
P399227: 14 rows
P399229: 38 rows
P399230: 18 rows
P399231: 40 rows
P399232: 67 rows
P399233: 39 rows
P399234: 27 rows
P399235: 72 rows
P399236: 54 rows
P399238: 10 rows
P399241: 13 rows
P399243: 38 rows
P399244: 20 rows
P399247: 14 rows
P399248: 32 rows
P399255: 16 rows
P399257: 21 rows
P399289: 33 rows
P399303: 65 rows
P498184: 98 rows
P498193: 13 rows
P498196: 7 rows
P498204: 45 rows
P498207: 36 rows
P498208: 10 rows
P498212: 51 rows
P498219: 20 rows
P498231: 25 rows
P498232: 31 rows
P498234: 20 rows
P498235: 17 rows
P498239: 17 rows
P498240: 32 rows
P498255: 14 rows
P498256: 13 rows
P498261: 11 rows
P499170: 129 rows
P499182: 95 rows
P499187: 19 rows
P499195: 13 rows
P499202: 22 rows
P499205: 18 rows
P499215: 48 rows
P499216: 36 rows
P499231: 22 rows
P598212: 19 rows
P598231: 11 rows
P598232: 16 rows
P599202: 17 rows
P599205: 14 rows
P98005M: 807 rows
P98006M: 727 rows
P98007M: 442 rows
P98008M: 936 rows
P98009M: 367 rows
P98010M: 553 rows
P98011M: 1149 rows
P98012M: 445 rows
P98013M: 322 rows
P98014M: 1080 rows
P98015M: 427 rows
P98101M: 317 rows
P98102M: 665 rows
P98103M: 642 rows
P98104M: 560 rows
P98105M: 364 rows
P98106M: 456 rows
P98107M: 415 rows
P98108M: 527 rows
P98109M: 629 rows
P98110M: 590 rows
P98111M: 23 rows
P98112M: 749 rows
P98113M: 442 rows
P98114M: 423 rows
P98115M: 430 rows
P98116M: 398 rows
P98117M: 694 rows
P98118M: 438 rows
P98119M: 776 rows
P98120M: 709 rows
P98201M: 811 rows
P98202M: 640 rows
P98203M: 691 rows
P98204M: 61 rows
P98205M: 1105 rows
P98206M: 602 rows
P98207M: 806 rows
P98208M: 307 rows
P98209M: 672 rows
P98210M: 654 rows
P98211M: 403 rows
P98212M: 490 rows
P98213M: 449 rows
P98214M: 555 rows
P98215M: 917 rows
P98216M: 23 rows
P98217M: 115 rows
P98218M: 492 rows
P98219M: 229 rows
P98220M: 1281 rows
P98221M: 1070 rows
P98222M: 542 rows
P98223M: 635 rows
P98224M: 972 rows
P98225M: 994 rows
P98226M: 541 rows
P98227M: 407 rows
P98301M: 796 rows
P98302M: 535 rows
P98303M: 622 rows
P98304M: 365 rows
P98305M: 100 rows
P98306M: 643 rows
P98307M: 1483 rows
P98308M: 838 rows
P98309M: 644 rows
P98310M: 821 rows
P98311M: 496 rows
P98312M: 927 rows
P98313M: 1097 rows
P98314M: 962 rows
P98315M: 499 rows
P98316M: 564 rows
P98317M: 500 rows
P98318M: 422 rows
P98319M: 663 rows
P98320M: 638 rows
P98321M: 891 rows
P98322M: 597 rows
P98323M: 707 rows
P98324M: 820 rows
P98325M: 712 rows
P98401M: 1911 rows
P98402M: 1687 rows
P98403M: 278 rows
P98404M: 1174 rows
P98405M: 1008 rows
P98406M: 302 rows
P98407M: 733 rows
P98408M: 1036 rows
P98409M: 1020 rows
P98410M: 480 rows
P98411M: 1273 rows
P98412M: 672 rows
P98413M: 551 rows
P98414M: 592 rows
P98415M: 781 rows
P98416M: 863 rows
P98417M: 728 rows
P98418M: 662 rows
P98419M: 517 rows
P98420M: 1115 rows
P98421M: 749 rows
P98422M: 589 rows
P98423M: 1340 rows
P98500M: 877 rows
P98501M: 418 rows
P98502M: 1055 rows
P98503M: 656 rows
P98504M: 630 rows
P98505M: 596 rows
P98506M: 715 rows
P98507M: 710 rows
P98508M: 1306 rows
P98509M: 839 rows
P98510M: 95 rows
P98511M: 923 rows
P98512M: 483 rows
P98513M: 624 rows
P98514M: 244 rows
P98515M: 667 rows
P98516M: 324 rows
P98517M: 1058 rows
P98518M: 257 rows
P98519M: 810 rows
P98520M: 878 rows
P98521M: 538 rows
P98522M: 909 rows
P98523M: 393 rows
P98524M: 1227 rows
P98525M: 332 rows
P98602M: 580 rows
P98606M: 416 rows
P98607M: 927 rows
P98608M: 1492 rows
P98609M: 1095 rows
P98610M: 521 rows
P98611M: 409 rows
P98612M: 776 rows
P98613M: 1523 rows
P98615M: 573 rows
P98617M: 591 rows
P98618M: 526 rows
P98619M: 869 rows
P98620M: 475 rows
P98624M: 235 rows
P98701M: 242 rows
P98702M: 389 rows
P98703M: 726 rows
P98704M: 710 rows
P98705M: 378 rows
P98707M: 1585 rows
P98708M: 1330 rows
P98709M: 838 rows
P98710M: 751 rows
P98711M: 828 rows
P98712M: 847 rows
P98713M: 463 rows
P98714M: 567 rows
P98715M: 772 rows
P98716M: 729 rows
P98717M: 575 rows
P98718M: 609 rows
P98720M: 632 rows
P98721M: 604 rows
P98722M: 869 rows
P98723M: 321 rows
P98724M: 517 rows
P98725M: 490 rows
P98726M: 587 rows
P98801M: 236 rows
P98802M: 172 rows
P98803M: 598 rows
P98804M: 429 rows
P98805M: 577 rows
P98806M: 158 rows
P98807M: 487 rows
P98808M: 726 rows
P98809M: 442 rows
P98810M: 322 rows
P98811M: 1148 rows
P98812M: 321 rows
P992004G: 7489 rows
P997065G: 622 rows
P998070G: 780 rows
P998190G: 16134 rows
P999221G: 14579 rows
Q182000: 83 rows
Q266249: 624 rows
Q282140: 36 rows
Q283133: 24 rows
R180109: 71 rows
R180110: 149 rows
R180117: 15 rows
R180124: 126 rows
R180125: 4 rows
R180127: 67 rows
R180297: 4 rows
R180308: 87 rows
R181141: 65 rows
R181153: 68 rows
R181198: 51 rows
R181206: 46 rows
R280079: 59 rows
R280080: 45 rows
R280088: 71 rows
R280093: 79 rows
R280109: 70 rows
R280110: 91 rows
R280111: 117 rows
R280124: 63 rows
R280125: 12 rows
R280127: 86 rows
R280136: 106 rows
R280137: 79 rows
R280231: 86 rows
R280232: 173 rows
R280233: 23 rows
R280234: 18 rows
R280236: 18 rows
R280238: 102 rows
R280239: 87 rows
R280240: 76 rows
R280298: 14 rows
R280308: 128 rows
R280322: 83 rows
R281134: 46 rows
R281238: 101 rows
R281239: 41 rows
R281240: 77 rows
R281241: 102 rows
R281242: 35 rows
R285129: 1014 rows
R285150: 576 rows
R285172: 1192 rows
T178336: 95 rows
T278340: 14 rows
T278341: 48 rows
T278347: 44 rows
T279087: 81 rows
T279277: 80 rows
T279333: 26 rows
T279345: 24 rows
T379171: 137 rows
T379172: 84 rows
T379187: 31 rows
T479171: 9 rows
T479173: 28 rows
T479174: 51 rows
T479177: 22 rows
U179183: 2 rows
W179130: 41 rows
W279130: 59 rows
W379130: 73 rows
W479130: 23 rows
W579129: 27 rows
Y178357: 8 rows
Y179013: 1 rows
Y179062: 1 rows
a111282: 4160 rows
a111296: 3406 rows
a111310: 3746 rows
a111330: 3509 rows
a111339: 328 rows
a111346: 4900 rows
a112009: 3100 rows
a112026: 2800 rows
a112036: 3502 rows
a112066: 2604 rows
a112083: 4555 rows
a112084: 4833 rows
a112092: 4477 rows
a112097: 10351 rows
a112128: 10070 rows
a112139: 9285 rows
a112162: 9265 rows
a112176: 6822 rows
a112185: 8972 rows
a112195: 8253 rows
a112220: 9513 rows
a112236: 12875 rows
a112256: 9280 rows
a112261: 9512 rows
a112297: 3803 rows
a112347: 3926 rows
a113046: 3827 rows
a113057: 9461 rows
a113088: 9213 rows
a113108: 5493 rows
a113116: 7035 rows
a113119: 4281 rows
a113120: 3972 rows
a113138: 10616 rows
a113156: 4304 rows
a113157: 6010 rows
a113172: 10338 rows
a113211: 7022 rows
a113219: 5457 rows
a113232: 12060 rows
a113261: 11366 rows
a113295: 6494 rows
a113309: 11755 rows
a113325: 9250 rows
a114015: 4615 rows
a114017: 5586 rows
a114032: 10107 rows
a114035: 6430 rows
a114060: 3726 rows
a114092: 4906 rows
a114100: 3885 rows
a114112: 4203 rows
a114127: 4018 rows
a114171: 5141 rows
a114175: 5216 rows
a114199: 4479 rows
a114206: 4317 rows
a114213: 4550 rows
a114238: 4138 rows
a114247: 3952 rows
a114261: 3963 rows
a114301: 3761 rows
a114333: 3405 rows
a114349: 4296 rows
a114361: 4302 rows
a115006: 1694 rows
a115021: 3530 rows
a115072: 4613 rows
a115079: 4799 rows
a115102: 4251 rows
a115106: 4904 rows
a115116: 5009 rows
a115123: 8644 rows
a115137: 4166 rows
a115171: 3386 rows
a115175: 5638 rows
a117059: 4030 rows
a117065: 4966 rows
a117080: 3604 rows
a117093: 4827 rows
a117104: 5346 rows
a117120: 4408 rows
a117147: 3610 rows
a117166: 4323 rows
a117191: 5396 rows
a117222: 5252 rows
a117255: 4875 rows
a117292: 3651 rows
a117332: 4827 rows
a117356: 2308 rows
a118021: 4663 rows
a118040: 4740 rows
a118088: 4270 rows
a118101: 4199 rows
a118141: 4923 rows
a118181: 5424 rows
a118299: 3611 rows
a118328: 3171 rows
a118334: 1520 rows
a118335: 3949 rows
a118354: 3991 rows
a119015: 4073 rows
a119027: 2717 rows
a119035: 3606 rows
a119097: 4198 rows
a119127: 3331 rows
a119163: 4231 rows
a119206: 3806 rows
a120071: 3043 rows
a120156: 4487 rows
a120177: 4151 rows
a120207: 4087 rows
a120232: 4931 rows
a120261: 3907 rows
a120278: 4258 rows
a120324: 953 rows
a120334: 2687 rows
a120349: 3426 rows
a120354: 4528 rows
a121008: 4361 rows
a121031: 4020 rows
a121043: 2439 rows
a121059: 2204 rows
a121066: 757 rows
a121075: 963 rows
a121118: 1030 rows
a121144: 4012 rows
a121174: 4232 rows
a121203: 3380 rows
a121204: 2678 rows
a121237: 3823 rows
a121241: 3095 rows
a121268: 1961 rows
a121274: 3865 rows
a122037: 921 rows
a122040: 2327 rows
a122051: 2772 rows
a122055: 2852 rows
a122082: 3741 rows
a122085: 4356 rows
a122111: 2806 rows
a122114: 2806 rows
a122115: 1094 rows
a122140: 3042 rows
a122145: 4639 rows
a122162: 4385 rows
a122167: 3525 rows
a122191: 4830 rows
a122196: 5203 rows
a122224: 3366 rows
a122231: 4808 rows
a122253: 4380 rows
a122264: 3690 rows
a122284: 4616 rows
a122288: 466 rows
a122295: 3503 rows
a122315: 3334 rows
a122333: 3874 rows
a122345: 1607 rows
a122355: 4184 rows
a123019: 3561 rows
a123025: 3341 rows
a123043: 4792 rows
a123050: 4658 rows
a123069: 4461 rows
a123080: 4348 rows
a123104: 5093 rows
a123110: 4420 rows
a123135: 2762 rows
a123138: 4211 rows
a123141: 3564 rows
a123162: 4605 rows
a123167: 4054 rows
a123174: 908 rows
a123203: 3516 rows
a123204: 1181 rows
a123206: 4771 rows
a213271: 3115 rows
a213272: 7327 rows
a217316: 3028 rows
a218113: 3448 rows
a218249: 2717 rows
a219179: 1865 rows
a219242: 2600 rows
a219298: 2716 rows
a220040: 234 rows
a221011: 2003 rows
a221205: 2292 rows
a222226: 2344 rows
a223111: 2313 rows
a223134: 2233 rows
a321140: 3455 rows
a321143: 3768 rows
a321171: 3017 rows
a321175: 2529 rows
a321201: 3258 rows
a321238: 3444 rows
a322115: 3134 rows
a422254: 4034 rows
a422260: 3850 rows
a422283: 3110 rows
a422289: 1723 rows
a422294: 3650 rows
a422319: 4344 rows
a422336: 2869 rows
a422356: 4032 rows
a423011: 3633 rows
a423018: 3349 rows
b117053: 6999 rows
b117072: 1753 rows
b117083: 2039 rows
b117099: 5198 rows
b117109: 6720 rows
b117124: 4966 rows
b117129: 4812 rows
b118079: 2701 rows
b118114: 4754 rows
b118189: 1132 rows
b119013: 3919 rows
b119034: 3491 rows
b119042: 2543 rows
b119048: 2916 rows
b119077: 2578 rows
b119086: 3583 rows
b119087: 2708 rows
b119092: 2552 rows
b119097: 289 rows
b119115: 4257 rows
b119119: 3296 rows
b119121: 4239 rows
b119135: 2403 rows
b119145: 2472 rows
b119148: 2635 rows
b119158: 3178 rows
b119175: 4243 rows
b119190: 3827 rows
b119196: 2711 rows
b119197: 1261 rows
b119207: 1432 rows
b119216: 928 rows
b119217: 1383 rows
b119223: 1016 rows
b120187: 2287 rows
b120236: 2363 rows
b120268: 3618 rows
b121013: 3181 rows
b121040: 2010 rows
b121057: 1629 rows
b121069: 1109 rows
b121080: 1128 rows
b121205: 1190 rows
b121276: 3592 rows
b122038: 2209 rows
b122060: 3319 rows
b122089: 3633 rows
b122165: 4406 rows
b122192: 2644 rows
b122347: 2741 rows
b123170: 4022 rows
b123204: 3320 rows
b123211: 3316 rows
b222143: 3318 rows
b222227: 2871 rows
b222259: 2571 rows
b222289: 2672 rows
b223022: 2411 rows
b223046: 3671 rows
b223076: 2887 rows
b422336: 770 rows
c015105: 3435 rows
c015106: 3600 rows
c015108: 3947 rows
c015109: 3544 rows
c015112: 3292 rows
c015115: 3718 rows
c015117: 3707 rows
c015119: 4121 rows
c015120: 2145 rows
c015124: 3981 rows
c015126: 4060 rows
c015128: 3389 rows
c015135: 2672 rows
c015343: 2411 rows
c015357: 2024 rows
c016007: 2707 rows
c016015: 1865 rows
c016025: 2408 rows
c016030: 3019 rows
c016038: 2695 rows
c016043: 2484 rows
c016046: 1928 rows
c016048: 2779 rows
c016050: 2787 rows
c016052: 3495 rows
c016058: 3253 rows
c016061: 3491 rows
c016066: 3955 rows
c016068: 2810 rows
c016079: 4628 rows
c016087: 4710 rows
c016090: 4877 rows
c016097: 3982 rows
c016100: 4051 rows
c016104: 4171 rows
c016108: 3537 rows
c016109: 2966 rows
c016110: 3214 rows
c016112: 3059 rows
c016116: 3503 rows
c016118: 4033 rows
c016119: 2643 rows
c016120: 3165 rows
c016127: 946 rows
c016130: 2501 rows
c016132: 2499 rows
c016133: 4122 rows
c016341: 2660 rows
c016355: 3834 rows
c017002: 2140 rows
c017019: 2967 rows
c017030: 3193 rows
c017034: 3892 rows
c017045: 3564 rows
c017050: 3560 rows
c017052: 3027 rows
c017055: 2696 rows
c017059: 3972 rows
c017065: 5120 rows
c017077: 4874 rows
c017080: 4378 rows
c017084: 1853 rows
c017085: 1285 rows
c017090: 924 rows
c017093: 5895 rows
c017099: 6491 rows
c017102: 6050 rows
c017104: 7428 rows
c017107: 6340 rows
c017113: 7098 rows
c017114: 2924 rows
c017118: 1632 rows
c017120: 3422 rows
c017124: 3450 rows
c017129: 2726 rows
c017130: 2644 rows
c018016: 3768 rows
c018019: 3312 rows
c018037: 3762 rows
c018044: 2797 rows
c018048A: 1820 rows
c018048B: 1702 rows
c018055: 4524 rows
c018058: 5014 rows
c018060: 2091 rows
c018071: 5180 rows
c018079: 4795 rows
c018087: 4238 rows
c018088: 2521 rows
c018093: 3317 rows
c018097: 4041 rows
c018100: 2320 rows
c018101: 4093 rows
c018103: 4477 rows
c018111: 4194 rows
c018112: 5522 rows
c018113: 2930 rows
c018114: 2458 rows
c018117: 5651 rows
c018120: 5436 rows
c018124: 5159 rows
c018126: 3894 rows
c018129: 2532 rows
c018133: 281 rows
c018134: 2756 rows
c018316: 3384 rows
c018319: 2851 rows
c018339: 3608 rows
c018345: 3146 rows
c018347: 3082 rows
c018348: 2167 rows
c018353: 3236 rows
c018364: 3531 rows
c019013: 2758 rows
c019026: 3073 rows
c019034: 3311 rows
c019037: 3895 rows
c019051: 4489 rows
c019054: 2029 rows
c019060: 5323 rows
c019062: 4150 rows
c019064: 3285 rows
c019068: 5362 rows
c019072: 5987 rows
c019078: 2672 rows
c019079: 4696 rows
c019086: 4759 rows
c019092: 3333 rows
c019096: 1508 rows
c019097: 6071 rows
c019101: 4442 rows
c019107a: 3159 rows
c019107b: 2215 rows
c019115: 6657 rows
c019119: 5015 rows
c019121a: 3031 rows
c019121b: 2156 rows
c019127: 3091 rows
c019128: 3798 rows
c019129a: 2846 rows
c019129b: 3564 rows
c019131: 3018 rows
c019136: 3144 rows
c019293: 3922 rows
c019306: 3180 rows
c019335: 3287 rows
c019338: 3277 rows
c019355: 4355 rows
c019363: 3225 rows
c020006: 3112 rows
c020013: 121 rows
c020018: 3879 rows
c020022: 4113 rows
c020024: 3542 rows
c020031: 4491 rows
c020040: 4880 rows
c020046: 4534 rows
c020052: 473 rows
c020060: 5753 rows
c020066: 3204 rows
c020071: 2899 rows
c020072: 5146 rows
c020076: 3877 rows
c020078: 3703 rows
c020096: 2821 rows
c020098: 5655 rows
c020105: 3938 rows
c020116: 4833 rows
c020120: 3442 rows
c020125: 3271 rows
c020127: 5052 rows
c020135: 3536 rows
c020138: 5059 rows
c020177: 2917 rows
c020221: 108 rows
c020233: 4318 rows
c020293: 2640 rows
c020297: 6 rows
c020298: 5 rows
c020346: 3137 rows
c021031: 3823 rows
c021040: 1266 rows
c021042: 4150 rows
c021044: 2277 rows
c021057: 3622 rows
c021059: 4779 rows
c021062: 4070 rows
c021066: 2936 rows
c021069: 3203 rows
c021071: 1390 rows
c021075: 5263 rows
c021080: 5798 rows
c021081: 2757 rows
c021089: 322 rows
c021093: 5221 rows
c021098: 1247 rows
c021099: 5705 rows
c021104: 3906 rows
c021108: 4437 rows
c021109: 4601 rows
c021114: 4640 rows
c021117: 5329 rows
c021118: 4429 rows
c021123: 4823 rows
c021127: 5551 rows
c021133: 3715 rows
c021134: 2266 rows
c021201: 3060 rows
c021227: 4553 rows
c021228: 3720 rows
c021237: 2192 rows
c021254: 3092 rows
c021308: 3565 rows
c021310: 2993 rows
c021321: 3615 rows
c021324: 2017 rows
c022013: 3051 rows
c022016: 3966 rows
c022024: 2950 rows
c022027: 3507 rows
c022031: 2169 rows
c022037: 2532 rows
c022040: 2181 rows
c022042: 4054 rows
c022051: 2644 rows
c022055: 2789 rows
c022057: 2985 rows
c022061: 2811 rows
c022064: 5846 rows
c022069: 4212 rows
c022070: 2241 rows
c022074: 3015 rows
c022082: 5526 rows
c022084: 3624 rows
c022085: 2347 rows
c022093: 5553 rows
c022095: 4766 rows
c022100: 3169 rows
c022103: 5509 rows
c022105: 3530 rows
c022108: 5427 rows
c022113: 6027 rows
c022114: 2340 rows
c022115: 6283 rows
c022120: 3067 rows
c022121: 5136 rows
c022125: 3688 rows
c022126: 4393 rows
c022134: 2545 rows
c022136: 2507 rows
c022140: 369 rows
c022145: 3472 rows
c022355: 3991 rows
c022356: 2879 rows
c023007: 2052 rows
c023008: 4143 rows
c023018: 2460 rows
c023022: 4624 rows
c023027: 2280 rows
c023030: 5018 rows
c023032: 2744 rows
c023040: 3635 rows
c023047: 4100 rows
c023050: 3037 rows
c023053: 2045 rows
c023060: 3900 rows
c023064: 2226 rows
c023069: 5411 rows
c023072: 3605 rows
c023076: 2245 rows
c023077: 4180 rows
c023080: 4349 rows
c023081: 4220 rows
c023088: 3859 rows
c023090: 3641 rows
c023098: 3869 rows
c023099: 5948 rows
c023104: 5567 rows
c023116: 3129 rows
c023117: 2915 rows
c023123: 4351 rows
c023126: 2811 rows
c023127: 2821 rows
f000007: 15 rows
f000020: 69 rows
f000023: 61 rows
f000027: 72 rows
f000030: 80 rows
f000034: 75 rows
f000039: 68 rows
f000041: 93 rows
f000044: 80 rows
f000049: 21 rows
f000051: 93 rows
f000053: 125 rows
f000055: 115 rows
f000061: 110 rows
f000062: 78 rows
f000065: 128 rows
f000067: 107 rows
f000068: 119 rows
f000071: 87 rows
f000074: 35 rows
f000083: 114 rows
f000085: 110 rows
f000087: 108 rows
f000091: 135 rows
f000092: 150 rows
f000098: 137 rows
f000102: 114 rows
f000105: 138 rows
f000116: 98 rows
f000118: 90 rows
f000119: 155 rows
f000122: 100 rows
f000124: 97 rows
f000125: 69 rows
f000129: 77 rows
f000133: 34 rows
f000138: 80 rows
f000354: 112 rows
f001005: 109 rows
f001008: 73 rows
f001013: 98 rows
f001018: 91 rows
f001023: 59 rows
f001024: 52 rows
f001029: 58 rows
f001032: 54 rows
f001035: 43 rows
f001043: 52 rows
f001045: 22 rows
f001047: 56 rows
f001053: 83 rows
f001076: 92 rows
f001079: 98 rows
f001085: 93 rows
f001088: 80 rows
f001094: 113 rows
f001096: 90 rows
f001100: 84 rows
f001101: 105 rows
f001106: 107 rows
f001107: 121 rows
f001110: 119 rows
f001113: 118 rows
f001119: 118 rows
f001121: 144 rows
f001123: 135 rows
f001127: 101 rows
f001131: 93 rows
f001338: 150 rows
f002006: 107 rows
f002018: 62 rows
f002027: 100 rows
f002029: 64 rows
f002034: 58 rows
f002038: 61 rows
f002041: 14 rows
f002045: 94 rows
f002053: 66 rows
f002054: 69 rows
f002056: 73 rows
f002060: 67 rows
f002061: 87 rows
f002064: 63 rows
f002066: 104 rows
f002074: 74 rows
f002078: 64 rows
f002079: 53 rows
f002084: 62 rows
f002088: 81 rows
f002092: 102 rows
f002095: 102 rows
f002101: 83 rows
f002102: 51 rows
f002107: 99 rows
f002114: 108 rows
f002125: 103 rows
f002132: 140 rows
f002344: 108 rows
f002347: 122 rows
f003006: 88 rows
f003019: 70 rows
f003025: 66 rows
f003026: 67 rows
f003037: 59 rows
f003041: 72 rows
f003051: 77 rows
f003052: 66 rows
f003058: 80 rows
f003060: 74 rows
f003063: 64 rows
f003067: 70 rows
f003074: 82 rows
f003079: 21 rows
f003082: 107 rows
f003083: 12 rows
f003086: 66 rows
f003087: 131 rows
f003097: 60 rows
f003103: 68 rows
f003104: 45 rows
f003111: 101 rows
f003115: 52 rows
f003118: 47 rows
f003120: 102 rows
f003124: 105 rows
f003125: 100 rows
f003129: 79 rows
f003134: 63 rows
f003135: 125 rows
f004021: 432 rows
f004027: 1157 rows
f004033: 1091 rows
f004034: 1389 rows
f004041: 1216 rows
f004043: 1456 rows
f004048: 1711 rows
f004051: 2061 rows
f004055: 1770 rows
f004060: 2104 rows
f004061: 2226 rows
f004070: 1654 rows
f004074: 2260 rows
f004076: 751 rows
f004080: 2089 rows
f004084: 2738 rows
f004098: 2383 rows
f004099: 1843 rows
f004101: 1499 rows
f004109: 2496 rows
f004112: 2153 rows
f004116: 1668 rows
f004126: 1453 rows
f004127: 1501 rows
f004129: 812 rows
f004131: 1286 rows
f004133: 580 rows
f004344: 1294 rows
f004353: 1209 rows
f005002: 1137 rows
f005009: 1201 rows
f005011: 1172 rows
f005015: 1112 rows
f005030: 1664 rows
f005032: 1368 rows
f005033: 842 rows
f005038: 1253 rows
f005039: 2030 rows
f005040: 1353 rows
f005045: 1070 rows
f005048: 1281 rows
f005057: 1307 rows
f005059: 1301 rows
f005064: 1529 rows
f005066: 1744 rows
f005069: 1397 rows
f005070: 610 rows
f005072: 1857 rows
f005077: 909 rows
f005079: 1521 rows
f005081: 1691 rows
f005085: 2114 rows
f005086: 1639 rows
f005091: 1293 rows
f005095: 1862 rows
f005096: 1327 rows
f005100: 1970 rows
f005106: 2097 rows
f005107: 1971 rows
f005112: 2210 rows
f005116: 590 rows
f005123: 1243 rows
f005124: 1149 rows
f005125: 1289 rows
f005126: 675 rows
f005130: 1295 rows
f005224: 2949 rows
f006010: 2332 rows
f006012: 2442 rows
f006013: 2098 rows
f006017: 2318 rows
f006022: 2240 rows
f006024: 2138 rows
f006029: 2482 rows
f006033: 1315 rows
f006035: 1417 rows
f006040: 1155 rows
f006047: 1590 rows
f006053: 1186 rows
f006054: 1832 rows
f006061: 1137 rows
f006065: 382 rows
f006067: 1837 rows
f006071: 1424 rows
f006072: 117 rows
f006081: 137 rows
f006083: 2037 rows
f006084: 1167 rows
f006087: 1752 rows
f006088: 1711 rows
f006089: 2083 rows
