CSV Split Summary
=================

Date: 28-Jun-2026 23:44:38
Input file: data/legacy/original_csv/RUSS_24_VALID.CSV
Output directory: data/legacy/surveys/pending

Total surveys: 12578
Total rows: 11651703
Average rows per survey: 926
Time elapsed: 341.3 minutes

Survey file row counts:
-----------------------
F079219: 21 rows
F085143: 1016 rows
F086081: 53 rows
F086082: 28 rows
F086083: 26 rows
F086084: 36 rows
F086135: 87 rows
F086139: 27 rows
F087062: 252 rows
F087153: 128 rows
F087156: 97 rows
F087157: 142 rows
F088130: 506 rows
F088133: 501 rows
F088148: 572 rows
F088155: 664 rows
F088312: 54 rows
F089140: 86 rows
F089141: 563 rows
F089148: 382 rows
F089149: 1148 rows
F089177: 245 rows
F090228: 32 rows
F090233: 17 rows
F090234: 21 rows
F091057: 47 rows
F091058: 60 rows
F092009: 100 rows
F092010: 34 rows
F092011: 58 rows
F092012: 128 rows
F092013: 67 rows
F092017: 151 rows
F092156: 1712 rows
F092169: 1138 rows
F092190: 981 rows
F092212: 1005 rows
F092213: 1267 rows
F093005: 97 rows
F093006: 107 rows
F093007: 58 rows
F093008: 38 rows
F093009: 116 rows
F093010: 113 rows
F094237: 212 rows
F094238: 37 rows
F094259: 232 rows
F095059: 17 rows
F095235: 103 rows
F096229: 142 rows
F096233: 61 rows
F096237: 89 rows
F096238: 44 rows
F096239: 220 rows
F096240: 110 rows
F096244: 65 rows
F096245: 113 rows
F097076: 49 rows
F097078: 109 rows
F097079: 65 rows
F097084: 95 rows
F097087: 94 rows
F097095: 125 rows
F097102: 110 rows
F097111: 62 rows
F097225: 116 rows
F097227: 150 rows
F097230: 109 rows
F097231: 127 rows
F097232: 142 rows
F097237: 150 rows
F097238: 240 rows
F097239: 205 rows
F097241: 81 rows
F097270: 90 rows
F097271: 42 rows
F097276: 104 rows
F097277: 142 rows
F097278: 58 rows
F097286: 139 rows
F097303: 57 rows
F097304: 75 rows
F097310: 70 rows
F097339: 27 rows
F098004: 117 rows
F098005: 38 rows
F098012: 67 rows
F098015: 80 rows
F098019: 66 rows
F098022: 55 rows
F098027: 73 rows
F098030: 77 rows
F098033: 122 rows
F098034: 91 rows
F098040: 88 rows
F098041: 96 rows
F098047: 80 rows
F098048: 80 rows
F098051: 98 rows
F098054: 73 rows
F098063: 114 rows
F098064: 55 rows
F098066: 63 rows
F098072: 69 rows
F098075: 49 rows
F098076: 91 rows
F098083: 107 rows
F098084: 87 rows
F098089: 55 rows
F098098: 113 rows
F098104: 162 rows
F098109: 73 rows
F098111: 164 rows
F098116: 102 rows
F098119: 107 rows
F098120: 56 rows
F098135: 131 rows
F098139: 92 rows
F098140: 102 rows
F098147: 75 rows
F098148: 104 rows
F098158: 169 rows
F098160: 160 rows
F098161: 119 rows
F098347: 80 rows
F099006: 99 rows
F099008: 96 rows
F099021: 133 rows
F099022: 59 rows
F099026: 80 rows
F099027: 102 rows
F099032: 89 rows
F099033: 50 rows
F099046: 64 rows
F099047: 105 rows
F099048: 69 rows
F099055: 69 rows
F099059: 66 rows
F099062: 102 rows
F099065: 28 rows
F099069: 52 rows
F099073: 89 rows
F099080: 95 rows
F099084: 61 rows
F099085: 78 rows
F099090: 92 rows
F099091: 101 rows
F099096: 127 rows
F099099: 102 rows
F099101: 105 rows
F099105: 150 rows
F099110: 95 rows
F099111: 96 rows
F099115: 107 rows
F099118: 142 rows
